Parameters:
Swapping: True
Randomization: True
Time per round: 30
Hard mode: False
Number of clicks: 15
Gradual cell filling: False
Dec_06_16-16_46_21 | 6666INFOdsa6666
Dec_06_16-16_46_31 | 6666INFOdsafd6666
Dec_06_16-16_46_33 | 6666SURVEYCOMPLETED@dsafd@Main area of study: none given, Native language: none given@6666
Dec_06_16-16_46_35 | 6666SURVEYCOMPLETED@dsa@Main area of study: none given, Native language: none given@6666
Dec_06_16-16_46_37 | 6666INSTRUCTIONSREAD@dsa@6666
Dec_06_16-16_46_39 | 6666INSTRUCTIONSREAD@dsafd@6666
Dec_06_16-16_46_39 | 6666image-7a.png|||image-8a.png6666
Dec_06_16-16_46_39 | 6666PICimage-7a.png@dsa@6666
Dec_06_16-16_46_41 | 6666FIRSTCLICK6666
Dec_06_16-16_46_41 | 6666(0, 0)6666
Dec_06_16-16_46_41 | 6666(0, 0)6666
Dec_06_16-16_46_41 | 6666(0, 0)6666
Dec_06_16-16_46_42 | 6666(0, 0)6666
Dec_06_16-16_46_42 | 6666(0, 0)6666
Dec_06_16-16_46_43 | 6666(0, 0)6666
Dec_06_16-16_46_43 | 6666(0, 0)6666
Dec_06_16-16_46_43 | 6666(0, 0)6666
Dec_06_16-16_46_43 | 6666(0, 0)6666
Dec_06_16-16_46_43 | 6666(0, 0)6666
Dec_06_16-16_46_43 | 6666(0, 0)6666
Dec_06_16-16_46_44 | 6666(0, 0)6666
Dec_06_16-16_46_44 | 6666(0, 0)6666
Dec_06_16-16_46_44 | 6666(0, 0)6666
Dec_06_16-16_46_44 | 6666(0, 0)6666
Dec_06_16-16_46_44 | 6666(0, 0)6666
Dec_06_16-16_46_45 | 6666(2, 2)6666
Dec_06_16-16_46_45 | 6666(2, 2)6666
Dec_06_16-16_46_45 | 6666(2, 2)6666
Dec_06_16-16_46_46 | 6666(2, 2)6666
Dec_06_16-16_46_46 | 6666(2, 2)6666
Dec_06_16-16_46_46 | 6666(2, 2)6666
Dec_06_16-16_46_46 | 6666(2, 2)6666
Dec_06_16-16_46_46 | 6666(2, 2)6666
Dec_06_16-16_46_46 | 6666(2, 2)6666
Dec_06_16-16_46_47 | 6666(2, 2)6666
Dec_06_16-16_46_47 | 6666(2, 2)6666
Dec_06_16-16_46_47 | 6666(2, 2)6666
Dec_06_16-16_46_47 | 6666(2, 2)6666
Dec_06_16-16_46_47 | 6666(2, 2)6666
Dec_06_16-16_46_48 | 6666(2, 2)6666
Dec_06_16-16_46_48 | 6666(2, 2)6666
Dec_06_16-16_46_48 | 6666(2, 2)6666
Dec_06_16-16_46_49 | 6666(4, 4)6666
Dec_06_16-16_46_49 | 6666(4, 4)6666
Dec_06_16-16_46_49 | 6666(4, 4)6666
Dec_06_16-16_46_49 | 6666(4, 4)6666
Dec_06_16-16_46_49 | 6666(4, 4)6666
Dec_06_16-16_46_50 | 6666(4, 4)6666
Dec_06_16-16_46_50 | 6666(4, 4)6666
Dec_06_16-16_46_50 | 6666(4, 4)6666
Dec_06_16-16_46_50 | 6666(4, 4)6666
Dec_06_16-16_46_50 | 6666(4, 4)6666
Dec_06_16-16_46_50 | 6666(4, 4)6666
Dec_06_16-16_46_51 | 6666(4, 4)6666
Dec_06_16-16_46_51 | 6666(4, 4)6666
Dec_06_16-16_46_51 | 6666(4, 4)6666
Dec_06_16-16_46_51 | 6666(4, 4)6666
Dec_06_16-16_46_51 | 6666(4, 4)6666
Dec_06_16-16_47_11 | 6666COORD[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]@dsa@6666
Dec_06_16-16_47_17 | 6666KILL6666
Dec_06_16-16_47_17 | 6666KILL6666
