Parameters:
Swapping: True
Randomization: True
Time per round: 30
Hard mode: False
Number of clicks: 15
Gradual cell filling: False
Aug_09_21-17_21_37 | 6666INFOgfds6666
Aug_09_21-17_21_41 | 6666INFOfdgh6666
Aug_09_21-17_21_44 | 6666SURVEYCOMPLETED@fdgh@Native language: gfhd, Main area of study: hdfg@6666
Aug_09_21-17_21_51 | 6666SURVEYCOMPLETED@gfds@Native language: hgfd, Main area of study: h@6666
Aug_09_21-17_21_53 | 6666INSTRUCTIONSREAD@gfds@6666
Aug_09_21-17_21_57 | 6666INSTRUCTIONSREAD@fdgh@6666
Aug_09_21-17_21_57 | 6666image-8a.png|||image-7a.png6666
Aug_09_21-17_21_57 | 6666PICimage-8a.png@gfds@6666
Aug_09_21-17_21_59 | 6666FIRSTCLICK6666
Aug_09_21-17_21_59 | 6666(0, 2)6666
Aug_09_21-17_21_59 | 6666(0, 2)6666
Aug_09_21-17_22_00 | 6666(0, 2)6666
Aug_09_21-17_22_00 | 6666(0, 2)6666
Aug_09_21-17_22_00 | 6666(0, 2)6666
Aug_09_21-17_22_00 | 6666(0, 2)6666
Aug_09_21-17_22_01 | 6666(0, 2)6666
Aug_09_21-17_22_08 | 6666(2, 3)6666
Aug_09_21-17_22_08 | 6666(2, 3)6666
Aug_09_21-17_22_10 | 6666(0, 0)6666
Aug_09_21-17_22_10 | 6666(0, 0)6666
Aug_09_21-17_22_10 | 6666(0, 0)6666
Aug_09_21-17_22_10 | 6666(0, 0)6666
Aug_09_21-17_22_10 | 6666(0, 0)6666
Aug_09_21-17_22_10 | 6666(0, 0)6666
Aug_09_21-17_22_11 | 6666(0, 0)6666
Aug_09_21-17_22_11 | 6666(0, 0)6666
Aug_09_21-17_22_11 | 6666(0, 0)6666
Aug_09_21-17_22_11 | 6666(0, 0)6666
Aug_09_21-17_22_11 | 6666(0, 0)6666
Aug_09_21-17_22_11 | 6666(0, 0)6666
Aug_09_21-17_22_12 | 6666(0, 0)6666
Aug_09_21-17_22_12 | 6666(0, 0)6666
Aug_09_21-17_22_12 | 6666(0, 0)6666
Aug_09_21-17_22_12 | 6666(0, 0)6666
Aug_09_21-17_22_12 | 6666(0, 0)6666
Aug_09_21-17_22_13 | 6666(0, 0)6666
Aug_09_21-17_22_13 | 6666(0, 4)6666
Aug_09_21-17_22_15 | 6666(4, 4)6666
Aug_09_21-17_22_15 | 6666(4, 4)6666
Aug_09_21-17_22_15 | 6666(4, 4)6666
Aug_09_21-17_22_15 | 6666(4, 4)6666
Aug_09_21-17_22_16 | 6666(4, 4)6666
Aug_09_21-17_22_16 | 6666(4, 4)6666
Aug_09_21-17_22_16 | 6666(4, 4)6666
Aug_09_21-17_22_16 | 6666(4, 4)6666
Aug_09_21-17_22_16 | 6666(4, 4)6666
Aug_09_21-17_22_16 | 6666(4, 4)6666
Aug_09_21-17_22_17 | 6666(4, 4)6666
Aug_09_21-17_22_17 | 6666(4, 4)6666
Aug_09_21-17_22_17 | 6666(4, 4)6666
Aug_09_21-17_22_17 | 6666(4, 4)6666
Aug_09_21-17_22_17 | 6666(4, 4)6666
Aug_09_21-17_22_17 | 6666(4, 4)6666
Aug_09_21-17_22_18 | 6666(4, 4)6666
Aug_09_21-17_22_18 | 6666(4, 4)6666
Aug_09_21-17_22_18 | 6666(4, 4)6666
Aug_09_21-17_22_18 | 6666(4, 4)6666
Aug_09_21-17_22_19 | 6666(6, 6)6666
Aug_09_21-17_22_20 | 6666(6, 6)6666
Aug_09_21-17_22_20 | 6666(6, 6)6666
Aug_09_21-17_22_20 | 6666(6, 6)6666
Aug_09_21-17_22_20 | 6666(6, 6)6666
Aug_09_21-17_22_20 | 6666(6, 6)6666
Aug_09_21-17_22_20 | 6666(6, 6)6666
Aug_09_21-17_22_21 | 6666(6, 6)6666
Aug_09_21-17_22_21 | 6666(6, 6)6666
Aug_09_21-17_22_21 | 6666(6, 6)6666
Aug_09_21-17_22_22 | 6666(6, 6)6666
Aug_09_21-17_22_22 | 6666(6, 6)6666
Aug_09_21-17_22_22 | 6666(6, 6)6666
Aug_09_21-17_22_22 | 6666(6, 6)6666
Aug_09_21-17_22_22 | 6666(6, 6)6666
Aug_09_21-17_22_22 | 6666(6, 6)6666
Aug_09_21-17_22_23 | 6666(6, 6)6666
Aug_09_21-17_22_23 | 6666(6, 6)6666
Aug_09_21-17_22_23 | 6666(6, 6)6666
Aug_09_21-17_22_23 | 6666(6, 6)6666
Aug_09_21-17_22_23 | 6666(6, 6)6666
Aug_09_21-17_22_23 | 6666(6, 6)6666
Aug_09_21-17_22_25 | 6666COORD[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]@gfds@6666
