Parameters:
Swapping: True
Randomization: True
Time per round: 30
Hard mode: False
Number of clicks: 15
Gradual cell filling: False
Aug_10_21-11_21_16 | 6666INFOfsd6666
Aug_10_21-11_21_28 | 6666INFOsdf6666
Aug_10_21-11_21_31 | 6666SURVEYCOMPLETED@sdf@Native language: gfds, Main area of study: fds@6666
Aug_10_21-11_21_36 | 6666SURVEYCOMPLETED@fsd@Native language: gfd, Main area of study: fd@6666
Aug_10_21-11_21_38 | 6666INSTRUCTIONSREAD@fsd@6666
Aug_10_21-11_21_40 | 6666INSTRUCTIONSREAD@sdf@6666
Aug_10_21-11_21_40 | 6666image-8a.png|||image-7a.png6666
Aug_10_21-11_21_40 | 6666PICimage-8a.png@fsd@6666
Aug_10_21-11_21_42 | 6666FIRSTCLICK6666
Aug_10_21-11_21_42 | 6666(0, 0)6666
Aug_10_21-11_21_43 | 6666(0, 0)6666
Aug_10_21-11_21_43 | 6666(0, 0)6666
Aug_10_21-11_21_43 | 6666(0, 0)6666
Aug_10_21-11_21_43 | 6666(0, 0)6666
Aug_10_21-11_21_44 | 6666(0, 0)6666
Aug_10_21-11_21_44 | 6666(0, 0)6666
Aug_10_21-11_21_44 | 6666(0, 0)6666
Aug_10_21-11_21_44 | 6666(0, 0)6666
Aug_10_21-11_21_45 | 6666(0, 0)6666
Aug_10_21-11_21_45 | 6666(0, 0)6666
Aug_10_21-11_21_45 | 6666(0, 0)6666
Aug_10_21-11_21_46 | 6666(0, 0)6666
Aug_10_21-11_21_46 | 6666(0, 0)6666
Aug_10_21-11_21_46 | 6666(0, 0)6666
Aug_10_21-11_21_47 | 6666(0, 0)6666
Aug_10_21-11_21_47 | 6666(0, 0)6666
Aug_10_21-11_21_47 | 6666(0, 0)6666
Aug_10_21-11_21_47 | 6666(0, 0)6666
Aug_10_21-11_21_47 | 6666(0, 0)6666
Aug_10_21-11_21_56 | 6666(3, 2)6666
Aug_10_21-11_21_56 | 6666(3, 2)6666
Aug_10_21-11_21_57 | 6666(3, 2)6666
Aug_10_21-11_21_57 | 6666(3, 2)6666
Aug_10_21-11_21_57 | 6666(3, 2)6666
Aug_10_21-11_21_57 | 6666(3, 2)6666
Aug_10_21-11_21_58 | 6666(3, 2)6666
Aug_10_21-11_21_58 | 6666(3, 2)6666
Aug_10_21-11_21_58 | 6666(3, 2)6666
Aug_10_21-11_21_58 | 6666(3, 2)6666
Aug_10_21-11_21_59 | 6666(3, 2)6666
Aug_10_21-11_21_59 | 6666(3, 2)6666
Aug_10_21-11_21_59 | 6666(3, 2)6666
Aug_10_21-11_22_00 | 6666(3, 2)6666
Aug_10_21-11_22_00 | 6666(3, 2)6666
Aug_10_21-11_22_04 | 6666(3, 3)6666
Aug_10_21-11_22_05 | 6666(2, 4)6666
Aug_10_21-11_22_13 | 6666COORD[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]@fsd@6666
