Parameters:
Swapping: True
Randomization: True
Time per round: 30
Hard mode: False
Number of clicks: 5
Gradual cell filling: False
Aug_10_21-14_35_41 | 6666INFOsd6666
Aug_10_21-14_35_49 | 6666INFOgsatr6666
Aug_10_21-14_36_05 | 6666SURVEYCOMPLETED@gsatr@Native language: dfg, Main area of study: gfd@6666
Aug_10_21-14_36_12 | 6666SURVEYCOMPLETED@sd@Native language: fg, Main area of study: gfd@6666
Aug_10_21-14_36_15 | 6666INSTRUCTIONSREAD@sd@6666
Aug_10_21-14_36_20 | 6666INSTRUCTIONSREAD@gsatr@6666
Aug_10_21-14_36_20 | 6666image-8a.png|||image-7a.png6666
Aug_10_21-14_36_20 | 6666PICimage-8a.png@sd@6666
Aug_10_21-14_36_25 | 6666FIRSTCLICK6666
Aug_10_21-14_36_25 | 6666(0, 0)6666
Aug_10_21-14_36_25 | 6666(0, 0)6666
Aug_10_21-14_36_25 | 6666(0, 0)6666
Aug_10_21-14_36_25 | 6666(0, 0)6666
Aug_10_21-14_36_25 | 6666(0, 0)6666
Aug_10_21-14_36_28 | 6666(0, 0)6666
Aug_10_21-14_36_28 | 6666(0, 0)6666
Aug_10_21-14_36_28 | 6666(0, 0)6666
Aug_10_21-14_36_28 | 6666(0, 0)6666
Aug_10_21-14_36_29 | 6666(0, 0)6666
Aug_10_21-14_36_32 | 6666(3, 5)6666
Aug_10_21-14_36_32 | 6666(3, 5)6666
Aug_10_21-14_36_32 | 6666(3, 5)6666
Aug_10_21-14_36_33 | 6666(3, 5)6666
Aug_10_21-14_36_33 | 6666(3, 5)6666
Aug_10_21-14_36_38 | 6666(2, 0)6666
Aug_10_21-14_36_38 | 6666(2, 0)6666
Aug_10_21-14_36_38 | 6666(2, 0)6666
Aug_10_21-14_36_39 | 6666(2, 0)6666
Aug_10_21-14_36_39 | 6666(2, 0)6666
Aug_10_21-14_36_41 | 6666(0, 1)6666
Aug_10_21-14_36_42 | 6666(0, 1)6666
Aug_10_21-14_36_42 | 6666(0, 1)6666
Aug_10_21-14_36_42 | 6666(0, 1)6666
Aug_10_21-14_36_42 | 6666(0, 1)6666
Aug_10_21-14_36_44 | 6666(3, 1)6666
Aug_10_21-14_36_44 | 6666(3, 1)6666
Aug_10_21-14_36_44 | 6666(3, 1)6666
Aug_10_21-14_36_45 | 6666(3, 1)6666
Aug_10_21-14_36_45 | 6666(3, 1)6666
Aug_10_21-14_36_47 | 6666(5, 0)6666
Aug_10_21-14_36_47 | 6666(5, 0)6666
Aug_10_21-14_36_47 | 6666(5, 0)6666
Aug_10_21-14_36_47 | 6666(5, 0)6666
Aug_10_21-14_36_47 | 6666(5, 0)6666
